"Wells","sample","OD.k","OD.n0","OD.r","OD.t_mid","OD.t_gen","OD.auc_l","OD.auc_e","OD.sigma","OD.note","OD.AUC","OD.max_gr","OD.max_val"
"bactExtract_Y1P126_PM1_  C12","NA",102.462017545277,12.4221945919556,0.126790529575066,15.6223599447256,5.46686872342123,3175.87803977748,3199,8.21521823012221,"",1911.625,1.30192415556107,105
"bactExtract_Y1P126_PM1_  D01","NA",169.493888375146,20.420627977988,0.102200389130113,19.450926921119,6.78223621709978,4633.0004891417,4646.25,12.6428491354813,"",3351.5,1.27404445550778,173
"bactExtract_Y1P126_PM1_  D02","NA",39.8297323854215,14.830491832219,0.185209135136146,2.81930006244107,3.74251075709855,1679.51036105615,1683,4.13237911940755,"",411,1.98610536072614,46
"bactExtract_Y1P126_PM1_  D03","NA",238.600510835823,2.47657861628751,0.317808104227091,14.3403479195013,2.18102424494705,7904.09640978744,7988.875,18.3610184965914,"",7288.125,1.39347782514594,246
"bactExtract_Y1P126_PM1_  D04","NA",34.1125250234918,10.046126146056,0.137190377304612,6.36800878650194,5.05244751256065,1317.25397453699,1320.625,3.71706909559257,"",797.625,1.29132621355632,41
"bactExtract_Y1P126_PM1_  D05","NA",123.686959780126,3.54202721803519,0.234277380135833,15.041996626479,2.95866028618751,3999.55515389348,4031.125,9.57481511719522,"",3508.625,1.00543885234373,133
"bactExtract_Y1P126_PM1_  D06","NA",92.3978399125299,13.5761075392289,0.110523874123676,15.9140033332164,6.27147017832828,2810.71788203474,2817.875,7.39672220773318,"",1860,1.24084326274337,97
"bactExtract_Y1P126_PM1_  D07","NA",90.8759196143197,13.3320684313308,0.125187903290909,14.0642287192214,5.53685429932654,2934.29739051994,2936.375,7.99526257736606,"",2413.875,1.74158604805909,101
"bactExtract_Y1P126_PM1_  D08","NA",36.3050878727292,10.1184008781107,0.140407360082667,6.77240506275818,4.93668693829046,1394.99040537189,1398.875,3.79101180528738,"",876.375,2.39177890437903,43
"bactExtract_Y1P126_PM1_  D09","NA",267.973948740595,2.85706039550223,0.26724660492372,16.9520490470414,2.59366131426736,8175.59241937067,8236.125,20.336374323515,"",6102.75,1.69983901777052,278
"bactExtract_Y1P126_PM1_  D10","NA",266.513506907339,4.01969905380992,0.155346724976735,26.9012459429551,4.46193623112268,5532.32093945719,5619.125,19.7519750047698,"",3574.375,0.987618240396163,265
"bactExtract_Y1P126_PM1_  D11","NA",53.3033022133473,15.5043669876808,0.0916279811558802,9.72584135292968,7.56479813061408,1831.51626489223,1837,5.08699333528258,"",658.25,1.74158604805909,60
"bactExtract_Y1P126_PM1_  D12","NA",97.5917230118674,18.5911614526577,0.0804870639271124,17.975170333377,8.61190788606287,2732.82840061058,2746.125,7.08767082307823,"",1749.25,0.854450338418311,95
"bactExtract_Y1P126_PM1_  E01","NA",269.942428077233,15.8594026266464,0.102741821316728,26.9987284614955,6.74649496842323,5676.78383170217,5711.5,18.3127860155932,"",4350.25,1.30192415556107,249
"bactExtract_Y1P126_PM1_  E02","NA",37.4229104226526,10.0776117537989,0.118001137327603,8.45948044407944,5.87407203233628,1364.66122320386,1368.75,3.69631433795661,"",265.5,1.49904386454881,42
"bactExtract_Y1P126_PM1_  E03","NA",54.9894078035596,17.0442998564656,0.104482941462823,7.6598605276022,6.6340703166993,2003.65795033471,2007,5.18348818974568,"",429.75,1.42695685538867,62
"bactExtract_Y1P126_PM1_  E04","NA",50.9615894787262,12.6534398202866,0.0906020399421845,12.2263644208459,7.65045887490238,1659.62830439951,1665.875,5.64965744392377,"",150.5,1.74158604805909,54
"bactExtract_Y1P126_PM1_  E05","NA",105.33273955289,6.46422484469737,0.196347840565807,13.8912030838016,3.53020017211563,3506.86079998253,3521.875,8.74565849408182,"",2999.375,1.72344215860602,118
"bactExtract_Y1P126_PM1_  E06","NA",34.6395662133871,12.2704363492067,0.103707091577645,5.79024103167545,6.68370089273006,1303.12754479134,1307.125,3.67268298255286,"",784.625,1.51823201052688,40
"bactExtract_Y1P126_PM1_  E07","NA",52.7353668998317,10.2400386025943,0.146961288027239,9.68342600411815,4.71652902519112,1918.182261833,1923.875,4.66421538361024,"",1401.375,1.74158604805909,60
"bactExtract_Y1P126_PM1_  E08","NA",44.1580345128321,11.8435582569073,0.0694002867088783,14.4629258171884,9.98767027386461,1321.38118961492,1323.875,4.27873621577795,"",325.5,1.72344215860602,49
"bactExtract_Y1P126_PM1_  E09","NA",43.5251781118564,13.4468716950428,0.144996259735053,5.55226531407878,4.78044869451469,1715.53951361249,1719.25,4.33043824686975,"",708.5,1.49904386454881,51
